Time_s,MSD_lattice_units2
1.2668471257821717e-06,1610.0
1.2744487534421922e-06,1568.0
1.2749404375122714e-06,1610.0
1.2766394061231933e-06,1716.0
1.2778563164039394e-06,1802.0
1.2829312279524014e-06,1850.0
1.2830930136306967e-06,1892.0
1.2891283330652044e-06,1782.0
1.2895441351102244e-06,1826.0
1.2924548443221965e-06,1718.0
1.2940637268582743e-06,1658.0
1.2985601584838843e-06,1704.0
1.304765057505217e-06,1766.0
1.3064634289822114e-06,1662.0
1.3092181963625498e-06,1562.0
1.3144000056425143e-06,1514.0
1.3187147490841606e-06,1418.0
1.319009949747585e-06,1514.0
1.3197895011796093e-06,1528.0
1.3232640109434414e-06,1486.0
1.324787864739761e-06,1406.0
1.3295546762179455e-06,1428.0
1.3295740680840645e-06,1330.0
1.3303095443843942e-06,1406.0
1.3334261052517777e-06,1368.0
1.336071295973018e-06,1406.0
1.3380753350190103e-06,1370.0
1.3397773149592336e-06,1274.0
1.3424367656586695e-06,1256.0
1.3468212238050582e-06,1334.0
1.3479909429398434e-06,1242.0
1.3484437000306795e-06,1194.0
1.3487436135703918e-06,1118.0
1.3493941438714071e-06,1080.0
1.3501814544183018e-06,1118.0
1.350801132882174e-06,1074.0
1.3536404408800323e-06,992.0
1.3628015660083156e-06,914.0
1.365670117614561e-06,910.0
1.3680153075402779e-06,986.0
1.3692319236402085e-06,948.0
1.3733632170537562e-06,986.0
1.3735828180078547e-06,986.0
1.3740925607305378e-06,954.0
1.3758646087645594e-06,882.0
1.3844569007432528e-06,912.0
1.3863220286688624e-06,882.0
1.3897017134967278e-06,926.0
1.3908189309355832e-06,1000.0
1.3925476373064948e-06,998.0
1.402813724485311e-06,926.0
1.4033743674529588e-06,974.0
1.4043540596809835e-06,1026.0
1.4043916927275644e-06,952.0
1.4049046475288212e-06,886.0
1.40556119913041e-06,894.0
1.4062184851396757e-06,958.0
1.4087697074999825e-06,1034.0
1.4112160485247203e-06,1046.0
1.4127730942608036e-06,968.0
1.418959634871437e-06,1034.0
1.4190923177355048e-06,1092.0
1.4209141187722467e-06,1142.0
1.4220913119452822e-06,1206.0
1.422865959952829e-06,1262.0
1.4313778360278183e-06,1254.0
1.4333983828412566e-06,1182.0
1.4353837687547422e-06,1106.0
1.4366259948529692e-06,1166.0
1.4388940436405737e-06,1238.0
1.4394372319904447e-06,1306.0
1.4417608969424486e-06,1378.0
1.4445179422207806e-06,1374.0
1.4447287246268287e-06,1382.0
1.4480357268486797e-06,1464.0
1.4489844102422387e-06,1478.0
1.4539152311778302e-06,1562.0
1.4624701734039992e-06,1496.0
1.4628328106286355e-06,1566.0
1.465153961727884e-06,1640.0
1.4653427078991873e-06,1566.0
1.4688082497733989e-06,1478.0
1.4702512828517296e-06,1410.0
1.4821363039577235e-06,1330.0
1.4847652353842742e-06,1348.0
1.4854097281401394e-06,1266.0
1.4857555198036286e-06,1250.0
1.4860300408043143e-06,1314.0
1.489633437577524e-06,1394.0
1.4916951224429865e-06,1394.0
1.4932813253258261e-06,1394.0
1.4981320558554688e-06,1382.0
1.4984109371906994e-06,1394.0
1.500724133538156e-06,1382.0
1.5012743151011588e-06,1452.0
1.5052903564474223e-06,1454.0
